molecule,smiles,max_abs,loge,max_em,stokes,yield,doi,solvent,dc,etn
5b,COc4c(C)cc(c2ccc(c1cc(C)c(OC)c(C)c1)c3nsnc23)cc4C,395.0,3.962937288430002,524.0,129.0,,https://doi.org/10.1016/j.dyepig.2020.108377,DCM,8.93,0.309
5b,COc4c(C)cc(c2ccc(c1cc(C)c(OC)c(C)c1)c3nsnc23)cc4C,397.0,3.9660947794461694,529.0,132.0,,https://doi.org/10.1016/j.dyepig.2020.108377,IPropOH,17.9,0.546
5c,C1Cc2ccccc2N(c3ccccc13)c4ccc(N5c6ccccc6CCc7ccccc57)c8nsnc48,470.0,3.641077313325374,632.0,160.0,0.015,https://doi.org/10.1016/j.dyepig.2020.108377,CHX,2.02,0.006
5c,C1Cc2ccccc2N(c3ccccc13)c4ccc(N5c6ccccc6CCc7ccccc57)c8nsnc48,469.0,3.6875289612146345,650.0,181.0,0.009,https://doi.org/10.1016/j.dyepig.2020.108377,TOL,2.3741,0.099
5c,C1Cc2ccccc2N(c3ccccc13)c4ccc(N5c6ccccc6CCc7ccccc57)c8nsnc48,465.0,3.7318304202881625,639.0,174.0,,https://doi.org/10.1016/j.dyepig.2020.108377,DCM,8.93,0.309
5c,C1Cc2ccccc2N(c3ccccc13)c4ccc(N5c6ccccc6CCc7ccccc57)c8nsnc48,469.0,3.693111115462141,641.0,172.0,,https://doi.org/10.1016/j.dyepig.2020.108377,IPropOH,17.9,0.546
5d,C1C=CC2OC3C=CC=CC=3N(C3C4C(=NSN=4)C(N4C5C=CC=CC=5OC5C=CC=CC4=5)=CC=3)C=2C=1,539.0,,,,,https://doi.org/10.1016/j.dyepig.2020.108377,CHX,2.02,0.006
5d,C1C=CC2OC3C=CC=CC=3N(C3C4C(=NSN=4)C(N4C5C=CC=CC=5OC5C=CC=CC4=5)=CC=3)C=2C=1,519.0,,,,,https://doi.org/10.1016/j.dyepig.2020.108377,TOL,2.3741,0.099
5d,C1C=CC2OC3C=CC=CC=3N(C3C4C(=NSN=4)C(N4C5C=CC=CC=5OC5C=CC=CC4=5)=CC=3)C=2C=1,520.0,,,,,https://doi.org/10.1016/j.dyepig.2020.108377,DCM,8.93,0.309
5d,C1C=CC2OC3C=CC=CC=3N(C3C4C(=NSN=4)C(N4C5C=CC=CC=5OC5C=CC=CC4=5)=CC=3)C=2C=1,520.0,,786.0,,,https://doi.org/10.1016/j.dyepig.2020.108377,IPropOH,17.9,0.546
9a,CCCCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCCCC)OCCCCCCCCCCCC)OCCCCCCCCCCCC,445.0,,530.0,85.0,0.397,https://doi.org/10.1016/j.dyepig.2016.07.011,TOL,2.3741,0.099
9a,CCCCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCCCC)OCCCCCCCCCCCC)OCCCCCCCCCCCC,439.0,,540.0,101.0,0.385,https://doi.org/10.1016/j.dyepig.2016.07.011,DIOX,2.25,0.164
9a,CCCCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCCCC)OCCCCCCCCCCCC)OCCCCCCCCCCCC,442.0,,562.0,120.0,0.22,https://doi.org/10.1016/j.dyepig.2016.07.011,DCM,8.93,0.309
9b,CCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCC)OCCCCCCCCCC)OCCCCCCCCCC,445.0,,530.0,85.0,0.387,https://doi.org/10.1016/j.dyepig.2016.07.011,TOL,2.3741,0.099
9b,CCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCC)OCCCCCCCCCC)OCCCCCCCCCC,439.0,,541.0,102.0,0.362,https://doi.org/10.1016/j.dyepig.2016.07.011,DIOX,2.25,0.164
9b,CCCCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCCCC)OCCCCCCCCCC)OCCCCCCCCCC,442.0,,563.0,121.0,0.238,https://doi.org/10.1016/j.dyepig.2016.07.011,DCM,8.93,0.309
9c,CCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCC)OCCCCCCCC)OCCCCCCCC,445.0,,533.0,88.0,0.391,https://doi.org/10.1016/j.dyepig.2016.07.011,TOL,2.3741,0.099
9c,CCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCC)OCCCCCCCC)OCCCCCCCC,439.0,,541.0,102.0,0.349,https://doi.org/10.1016/j.dyepig.2016.07.011,DIOX,2.25,0.164
9c,CCCCCCCCOC1=C(C=C(C=C1)C#CC2=CC=C(C3=NSN=C23)C#CC4=CC(=C(C=C4)OCCCCCCCC)OCCCCCCCC)OCCCCCCCC,442.0,,563.0,121.0,0.237,https://doi.org/10.1016/j.dyepig.2016.07.011,DCM,8.93,0.309
F1,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)cc2)c4nsnc34)cc5)cc6,401.0,,,,0.84,https://doi.org/10.1016/j.dyepig.2018.03.043,THF,7.58,0.605
F1,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)cc2)c4nsnc34)cc5)cc6,407.0,,,,0.85,https://doi.org/10.1016/j.dyepig.2018.03.043,PS,2.6,0.127
F1,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)cc2)c4nsnc34)cc5)cc6,380.0,,,,,https://doi.org/10.1016/j.dyepig.2018.03.043,SOLID,,0.0
F2,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)cc2)c4nsnc34)cc5)s6,415.0,,,,0.73,https://doi.org/10.1016/j.dyepig.2018.03.043,THF,7.58,0.605
F2,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)cc2)c4nsnc34)cc5)s6,422.0,,,,0.75,https://doi.org/10.1016/j.dyepig.2018.03.043,PS,2.6,0.127
F2,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)cc2)c4nsnc34)cc5)s6,417.0,,,,,https://doi.org/10.1016/j.dyepig.2018.03.043,SOLID,,0.0
F3,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)s2)c4nsnc34)s5)cc6,495.0,,,,0.77,https://doi.org/10.1016/j.dyepig.2018.03.043,THF,7.58,0.605
F3,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)s2)c4nsnc34)s5)cc6,502.0,,,,0.66,https://doi.org/10.1016/j.dyepig.2018.03.043,PS,2.6,0.127
F3,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)cc1)s2)c4nsnc34)s5)cc6,498.0,,,,,https://doi.org/10.1016/j.dyepig.2018.03.043,SOLID,,0.0
F4,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)s2)c4nsnc34)s5)s6,513.0,,,,0.65,https://doi.org/10.1016/j.dyepig.2018.03.043,THF,7.58,0.605
F4,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)s2)c4nsnc34)s5)s6,521.0,,,,0.82,https://doi.org/10.1016/j.dyepig.2018.03.043,PS,2.6,0.127
F4,C[Si](C)(C)c6ccc(c5ccc(c3ccc(c2ccc(c1ccc([Si](C)(C)C)s1)s2)c4nsnc34)s5)s6,516.0,,,,,https://doi.org/10.1016/j.dyepig.2018.03.043,SOLID,,0.0
BT-2PhCz,C1([H])=C([H])C([H])=C(C([H])=C1[H])N2C3=C(C([H])=C([H])C([H])=C3[H])C4=C2C([H])=C([H])C(=C4[H])C5=CC=C(C6=C([H])C7=C(C([H])=C6[H])N(C8=C([H])C([H])=C([H])C([H])=C8[H])C9=C7C([H])=C([H])C([H])=C9[H])C%10=NSN=C5%10,300.43,,,,,https://doi.org/10.1021/acs.jpcc.3c07943,VAC,0.0,0.0
BT-2PhCz-d10,CC1C(C2C3C(=NSN=3)C(C3C([H])=C(C)C4N(C5C([H])=C([H])C([H])=C([H])C=5C=4C=3[H])C3C([2H])=C([2H])C([2H])=C([2H])C=3[2H])=CC=2)=C([H])C2C3C([H])=C([H])C([H])=C([H])C=3N(C3C([2H])=C([2H])C([2H])=C([2H])C=3[2H])C=2C=1[H],300.43,,,,,https://doi.org/10.1021/acs.jpcc.3c07943,VAC,0.0,0.0
BT-2PhCz-d24,C1([2H])=C([2H])C([2H])=C(C([2H])=C1[2H])N2C3=C(C([2H])=C([2H])C([2H])=C3[2H])C4=C2C([2H])=C([2H])C(=C4[2H])C5=CC=C(C6=C([2H])C7=C(C([2H])=C6[2H])N(C8=C([2H])C([2H])=C([2H])C([2H])=C8[2H])C9=C7C([2H])=C([2H])C([2H])=C9[2H])C%10=NSN=C5%10,299.439,,,,,https://doi.org/10.1021/acs.jpcc.3c07943,VAC,0.0,0.0
R,Cc1sc(cc1)c2sc(cc2)c3c(F)c(F)c(c4sc(cc4)c5sc(C)cc5)c6nsnc36,531.0,,,,,https://doi.org/10.1021/acs.jpca.3c04866,VAC,0.0,0.0
D1-ZAIER,CC1C=C(C2C3=NSN=C3C(/C=C3/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/3)=CC=2)SC=1C1SC(C2SC(C3SC(C4SC(C5C6=NSN=C6C(/C=C6/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/6)=CC=5)=CC=4C)=CC=3C)=CC=2)=C(C)C=1,605.0,,,,,https://doi.org/10.1021/acs.jpca.3c04866,VAC,0.0,0.0
D4-ZAIER,CC1C=C(C2C3=NSN=C3C(/C=C3/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/3)=CC=2C#N)SC=1C1SC(C2SC(C3SC(C4SC(C5C6=NSN=C6C(/C=C6/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/6)=CC=5C#N)=CC=4C)=CC=3C)=CC=2)=C(C)C=1,629.0,,,,,https://doi.org/10.1021/acs.jpca.3c04866,VAC,0.0,0.0
D5-ZAIER,CC1C=C(C2C3=NSN=C3C(/C=C3/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/3)=C(F)C=2F)SC=1C1SC(C2SC(C3SC(C4SC(C5C6=NSN=C6C(/C=C6/C(=O)N(CC)/C(=C(/C#N)\C#N)/S/6)=C(F)C=5F)=CC=4C)=CC=3C)=CC=2)=C(C)C=1,586.0,,,,,https://doi.org/10.1021/acs.jpca.3c04866,VAC,0.0,0.0
T-BTD,C1=CSC(=C1)C2=CC=C(C3=CC=CS3)C4=NSN=C24,446.0,,,,,https://doi.org/10.3390/cryst13121697,HEX,1.88,0.009
T-BTD,C1=CSC(=C1)C2=CC=C(C3=CC=CS3)C4=NSN=C24,446.0,,,,,https://doi.org/10.3390/cryst13121697,THF,7.58,0.605
TMS-T-BTD,C[Si](C)(C)C1=CC=C(C2=CC=C(C3=CC=C(S3)[Si](C)(C)C)C4=NSN=C24)S1,457.0,,,,,https://doi.org/10.3390/cryst13121697,HEX,1.88,0.009
TMS-T-BTD,C[Si](C)(C)C1=CC=C(C2=CC=C(C3=CC=C(S3)[Si](C)(C)C)C4=NSN=C24)S1,455.0,,,,,https://doi.org/10.3390/cryst13121697,THF,7.58,0.605
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,395.0,,,,,https://doi.org/10.1016/j.omx.2023.100270,CFM,4.81,0.259
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,390.0,,,,,https://doi.org/10.1016/j.omx.2023.100270,CBZN,23.0,0.333
P2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)C2=CC=C(C=C2)C=CC2=CC3=C(C=C2)N(C2=CC=CC=C2S3)CCCCCCCC)SC2=CC=CC=C21,430.0,,,,,https://doi.org/10.1016/j.omx.2023.100270,THF,7.58,0.605
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,463.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,HEX,1.88,0.009
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,474.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,TOL,2.3741,0.099
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,486.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,AcOEt,6.02,0.228
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,480.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,THF,7.58,0.605
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,483.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DCM,8.93,0.309
BT2Ph,S1N=C2C(C3C=CC=CC=3)=CC=C(C3C=CC=CC=3)C2=N1,,,492.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DMF,36.7,0.386
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,472.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,HEX,1.88,0.009
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,490.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,TOL,2.3741,0.099
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,503.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,AcOEt,6.02,0.228
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,494.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,THF,7.58,0.605
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,496.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DCM,8.93,0.309
BT2NA,S1N=C2C(C3C=C4C=CC=CC4=CC=3)=CC=C(C3C=CC4C=CC=CC=4C=3)C2=N1,,,512.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DMF,36.7,0.386
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,477.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,HEX,1.88,0.009
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,499.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,TOL,2.3741,0.099
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,511.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,AcOEt,6.02,0.228
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,500.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,THF,7.58,0.605
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,503.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DCM,8.93,0.309
BT2Pa,S1N=C2C(C3C=C4C=CC=CC4=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C4C=CC=CC=4C=3)C2=N1,,,517.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DMF,36.7,0.386
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,498.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,HEX,1.88,0.009
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,542.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,TOL,2.3741,0.099
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,568.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,AcOEt,6.02,0.228
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,572.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,THF,7.58,0.605
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,589.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DCM,8.93,0.309
BT2An,S1N=C2C(C3C4C=CC=CC=4C=C4C=CC=CC=34)=CC=C(C3C4C=CC=CC=4C=C4C=CC=CC=34)C2=N1,,,618.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DMF,36.7,0.386
BT2Py,S1N=C2C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)=CC=C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)C2=N1,,,532.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,TOL,2.3741,0.099
BT2Py,S1N=C2C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)=CC=C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)C2=N1,,,553.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,AcOEt,6.02,0.228
BT2Py,S1N=C2C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)=CC=C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)C2=N1,,,540.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,THF,7.58,0.605
BT2Py,S1N=C2C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)=CC=C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)C2=N1,,,543.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DCM,8.93,0.309
BT2Py,S1N=C2C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)=CC=C(C3=CC4=CC=CC5=CC=C6C=CC=C3C6=C54)C2=N1,,,572.0,,,https://doi.org/10.1016/j.dyepig.2023.111588,DMF,36.7,0.386
BTD-CH,COc1ccc(Oc2ccc(c3ccc(\C=C\C(=O)c4ccc(OC)cc4)cc3)c5nsnc25)cc1,393.0,,515.0,122.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DCM,8.93,0.309
BTD-CH,COc1ccc(Oc2ccc(c3ccc(\C=C\C(=O)c4ccc(OC)cc4)cc3)c5nsnc25)cc1,398.0,,513.0,115.0,,https://doi.org/10.1016/j.dyepig.2023.111533,EtOH,24.852,0.654
BTD-CH,COc1ccc(Oc2ccc(c3ccc(\C=C\C(=O)c4ccc(OC)cc4)cc3)c5nsnc25)cc1,390.0,,508.0,118.0,,https://doi.org/10.1016/j.dyepig.2023.111533,MeCN,37.5,0.46
BTD-CH,COc1ccc(Oc2ccc(c3ccc(\C=C\C(=O)c4ccc(OC)cc4)cc3)c5nsnc25)cc1,393.0,,517.0,124.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DMSO,46.826,0.444
BTD-CH-TPA,COc1ccc(Oc2ccc(c3ccc(/C=C/C(=O)c4ccc(cc4)N(c5ccccc5)c6ccccc6)cc3)c7nsnc27)cc1,393.0,,540.0,147.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DCM,8.93,0.309
BTD-CH-TPA,COc1ccc(Oc2ccc(c3ccc(/C=C/C(=O)c4ccc(cc4)N(c5ccccc5)c6ccccc6)cc3)c7nsnc27)cc1,395.0,,551.0,156.0,,https://doi.org/10.1016/j.dyepig.2023.111533,EtOH,24.852,0.654
BTD-CH-TPA,COc1ccc(Oc2ccc(c3ccc(/C=C/C(=O)c4ccc(cc4)N(c5ccccc5)c6ccccc6)cc3)c7nsnc27)cc1,386.0,,547.0,161.0,,https://doi.org/10.1016/j.dyepig.2023.111533,MeCN,37.5,0.46
BTD-CH-TPA,COc1ccc(Oc2ccc(c3ccc(/C=C/C(=O)c4ccc(cc4)N(c5ccccc5)c6ccccc6)cc3)c7nsnc27)cc1,397.0,,546.0,149.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DMSO,46.826,0.444
BTD-FL,COC1=CC=C(C=C1)OC2=CC=C(C3=CC=C(CC3)C=C4C5=C(CCC=C5)C6=C4C=CCC6)C7=NSN=C27,408.0,,565.0,157.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DCM,8.93,0.309
BTD-FL,COC1=CC=C(C=C1)OC2=CC=C(C3=CC=C(CC3)C=C4C5=C(CCC=C5)C6=C4C=CCC6)C7=NSN=C27,413.0,,530.0,117.0,,https://doi.org/10.1016/j.dyepig.2023.111533,EtOH,24.852,0.654
BTD-FL,COC1=CC=C(C=C1)OC2=CC=C(C3=CC=C(CC3)C=C4C5=C(CCC=C5)C6=C4C=CCC6)C7=NSN=C27,400.0,,530.0,130.0,,https://doi.org/10.1016/j.dyepig.2023.111533,MeCN,37.5,0.46
BTD-FL,COC1=CC=C(C=C1)OC2=CC=C(C3=CC=C(CC3)C=C4C5=C(CCC=C5)C6=C4C=CCC6)C7=NSN=C27,410.0,,535.0,125.0,,https://doi.org/10.1016/j.dyepig.2023.111533,DMSO,46.826,0.444
DABzH,COC1=CC=C(C=C1)C2=C([2H])C([2H])=C(C3=CC=C(C=C3)N4C5=C(C=CC=C5)CCC6=C4C=CC=C6)C7=NSN=C27,451.0,,,,,https://doi.org/10.1016/j.mencom.2023.09.035,MXylene,2.374,0.074
DABzF,COC1=CC=C(C=C1)C2=C(C(=C(C3=CC=C(C=C3)N4C5=C(C=CC=C5)CCC6=C4C=CC=C6)C7=NSN=C27)F)F,434.0,,,,,https://doi.org/10.1016/j.mencom.2023.09.035,MXylene,2.374,0.074
DABzCN,COC1C=CC(C2C3C(=NSN=3)C(C3C=CC(N4C5C=CC=CC=5CCC5C=CC=CC4=5)=CC=3)=C(C#N)C=2C#N)=CC=1,504.0,,,,,https://doi.org/10.1016/j.mencom.2023.09.035,MXylene,2.374,0.074
BDP-BT,CCOCCOCCOCCOC1=CC=C(C=C1)C2=C3C(=CC(=[N+]3[B-](F)(F)N4C(=C(C#CC5=CC=C(C#CC6=C(C)C7=C(C8=CC=C(C=C8)OCCOCCOCCOCC)C9=C(C)C=C(C)N9[B-](F)(F)N7C6=C)C%10=NSN=C5%10)C(=C24)C)C)C)C-,571.0,,597.0,26.0,,https://doi.org/10.1142/S1088424623500621,BluMe,,0.0
EFBT,CCCCCCCCC1(CCCCCCCC)c2ccccc2c3ccc(cc13)C#Cc4sc(cc4)c5ccc(c6sc(cc6)C#Cc7ccc8c9ccccc9C(CCCCCCCC)(CCCCCCCC)c8c7)c%10nsnc5%10,365.0,,628.0,263.0,,https://doi.org/10.1016/j.saa.2022.122250,THF,7.58,0.605
BTD-1,CCCCNC1=CC=C(C2=CC=C(C=C2)OC)C3=NSN=C13,470.0,,653.0,183.0,,https://doi.org/10.1002/cptc.202200262,TOL,2.3741,0.099
BTD-1,CCCCNC1=CC=C(C2=CC=C(C=C2)OC)C3=NSN=C13,469.0,,688.0,219.0,,https://doi.org/10.1002/cptc.202200262,MeCN,37.5,0.46
BTD-2,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)NC4=CC=C(C=C4)C#N,460.0,,584.0,124.0,,https://doi.org/10.1002/cptc.202200262,TOL,2.3741,0.099
BTD-2,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)NC4=CC=C(C=C4)C#N,447.0,,607.0,160.0,,https://doi.org/10.1002/cptc.202200262,MeCN,37.5,0.46
4,CC(C)(C)C1=NC2=C(C3=C4C=CC=CC4=CC=C31)C5=NSN=C5C6=C2N=C(C7=C6C8=C(C=CC=C8)C=C7)C(C)(C)C,353.0,,454.0,101.0,,https://doi.org/10.1016/j.tet.2022.133178,TOL,2.3741,0.099
4,CC(C)(C)C1=NC2=C(C3=C4C=CC=CC4=CC=C31)C5=NSN=C5C6=C2N=C(C7=C6C8=C(C=CC=C8)C=C7)C(C)(C)C,353.0,,457.0,104.0,,https://doi.org/10.1016/j.tet.2022.133178,THF,7.58,0.605
4,CC(C)(C)C1=NC2=C(C3=C4C=CC=CC4=CC=C31)C5=NSN=C5C6=C2N=C(C7=C6C8=C(C=CC=C8)C=C7)C(C)(C)C,354.0,,465.0,111.0,,https://doi.org/10.1016/j.tet.2022.133178,CFM,4.81,0.259
4,CC(C)(C)C1=NC2=C(C3=C4C=CC=CC4=CC=C31)C5=NSN=C5C6=C2N=C(C7=C6C8=C(C=CC=C8)C=C7)C(C)(C)C,350.0,,489.0,139.0,,https://doi.org/10.1016/j.tet.2022.133178,MeOH,32.613,0.762
4,CC(C)(C)C1=NC2=C(C3=C4C=CC=CC4=CC=C31)C5=NSN=C5C6=C2N=C(C7=C6C8=C(C=CC=C8)C=C7)C(C)(C)C,349.0,,471.0,122.0,,https://doi.org/10.1016/j.tet.2022.133178,DMSO,46.826,0.444
BTD-2,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)NC4=CC=C(C=C4)C#N,400.0,,530.0,130.0,,https://doi.org/10.24820/ark.5550190.p012.096,DCM,8.93,0.309
